id,name,deepbias_detected,deep_label,prob_unif,prob_centre,prob_disc,prob_bounds,prob_gaps_clusters,status
d2cbc8c8-5e78-4b2f-ae44-c00463c3cbf9,HybridPSODE,True,bounds,0.0075709545,1.8689093e-07,0.011482245,0.9616701,0.01927649,ok
d30f9b0f-df19-41db-8a4e-99d486039e3f,HybridPSOSA,False,unif,0.6961168,0.025818279,0.14166269,0.07910804,0.057294108,ok
d5245942-7b3c-4cb3-b958-ff1b8271f561,HybridPSOSA,False,unif,0.75381386,0.06601679,0.103057966,0.019662779,0.057448637,ok
d9ab4fc9-6c63-41fe-a4ea-08fd2345e810,HybridPSOSA,False,unif,0.6826886,0.013665359,0.08531149,0.13724214,0.08109242,ok
da696acb-10f8-404b-a4b1-4837c232b0ad,HybridPSODE,True,bounds,0.00994497,1.1344496e-06,0.013162255,0.9587692,0.018122356,ok
db5d9ef4-d320-4d1f-8f3b-e5802875aa4e,HybridPSODE,True,bounds,0.00994497,1.1344496e-06,0.013162255,0.9587692,0.018122356,ok
dcca6b8b-39be-4059-bb91-17abea521b89,HybridPSOSA,True,centre,0.35141256,0.4671596,0.031139841,0.00021151573,0.15007648,ok
dee6d0e7-694a-4b9c-8220-d882eaf2060b,HybridPSOSA,False,unif,0.7086111,0.018525023,0.10943501,0.10770105,0.05572785,ok
e0d7ef6f-b854-4141-a4ae-543bce23a05b,HybridPSODE,True,bounds,0.023486754,1.656459e-07,0.030460194,0.93374413,0.012308814,ok
e2dd6719-ab29-4c1f-bf1d-37de95729fd5,HybridPSODE,False,unif,0.68410337,0.14136676,0.06692453,0.0071251877,0.10048014,ok
e36cd849-e0bc-4efa-b7c3-e44f586249b5,HybridOptimizer,True,bounds,5.0714867e-19,1.1112385e-36,7.738521e-21,0.9999653,3.4776484e-05,ok
e3d0e8ba-7c7c-446c-a771-133cd2858e8d,HybridPSODE,True,bounds,0.01923551,4.0465966e-07,0.044019498,0.91989946,0.016845156,ok
e6004bf1-410d-45fc-a807-84a91ddc85cb,HybridPSOSA,False,unif,0.6592158,0.14285234,0.094326265,0.0021091187,0.10149647,ok
e7a9d827-b288-4b1a-ac90-4d4cb518160c,HybridPSOSA,False,unif,0.6881477,0.048390977,0.10412154,0.09892042,0.060419254,ok
ea2ebe00-c20c-4932-a741-2101e7ca83dc,HybridPSODE,False,unif,0.7401253,0.1112329,0.05674106,0.012228582,0.0796721,ok
eeed778b-3b42-4ac7-ab19-71ae6ba0c62a,HybridPSOSA,False,unif,0.68177664,0.017092714,0.11761685,0.114658795,0.06885497,ok
eefb7790-8969-4996-b880-5fc6756a531b,HybridPSODE,True,bounds,0.01923551,4.0465966e-07,0.044019498,0.91989946,0.016845156,ok
eff70187-1bf2-4cdf-9511-27738788a383,HybridPSODE,True,bounds,0.01923551,4.0465966e-07,0.044019498,0.91989946,0.016845156,ok
fa1294ac-9055-40f6-9672-72e26ef0f8f8,HybridPSOSA,False,unif,0.6889423,0.045343284,0.110453464,0.091923326,0.06333758,ok
fe6f2cce-1085-493d-9bf4-71756ea1a29e,HybridPSODE,True,bounds,0.01923551,4.0465966e-07,0.044019498,0.91989946,0.016845156,ok
f293cc26-09c7-44f9-8d4c-1f4f05446d05,HybridPSOSA,False,unif,0.77037656,0.041039657,0.065181956,0.05060339,0.072798386,ok
f4748168-f4c5-4c2b-864d-18cb18e5144a,AdaptiveSwarmOptimizer,True,gaps/clusters,0.4324277,0.0015068308,0.08222763,0.13081647,0.35302138,ok
f5576381-3d4a-41fb-8f1a-26183e675d9a,HybridPSODE,True,bounds,0.00994497,1.1344496e-06,0.013162255,0.9587692,0.018122356,ok
f5bf1b8f-09b5-4304-b2da-f7585595a560,HybridPSOSA,False,unif,0.7209867,0.03295108,0.07591349,0.10089393,0.06925479,ok
f83b596e-559a-4503-878d-73e093775afc,HybridPSODE,True,bounds,0.009753912,2.4460763e-07,0.004630762,0.9533447,0.0322703,ok
