id,name,case_type,suite,fid,iid,dim,budget,auc,status
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,20,1,5,250,0.09386530256238634,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,20,2,5,250,0.06147217429595164,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,21,1,5,250,0.1096221963331947,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,21,2,5,250,0.09804822416113024,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,23,1,5,250,0.15287043837059777,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,23,2,5,250,0.13573100510229497,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,1,1,2,100,0.20655669812409483,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,1,2,2,100,0.21978804985890166,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,3,1,2,100,0.0881976837935643,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,3,2,2,100,0.11466896492876077,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,5,1,2,100,0.2843676524204406,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,5,2,2,100,0.43368371201318856,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,8,1,2,100,0.18820573360747928,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,8,2,2,100,0.11075833927205037,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,15,1,2,100,0.08979526532917259,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,15,2,2,100,0.091154845466766,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,20,1,2,100,0.1503397307691272,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,20,2,2,100,0.17348753007949247,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,21,1,2,100,0.17225473895154575,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,21,2,2,100,0.2796387199836875,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,23,1,2,100,0.11757175356537886,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,23,2,2,100,0.13541290059911826,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,1,1,5,250,0.22032493687337074,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,1,2,5,250,0.1617573726762762,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,3,1,5,250,0.007056933935438492,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,3,2,5,250,0.04124084813149598,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,5,1,5,250,0.4930588359780509,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,5,2,5,250,0.5575940534411509,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,8,1,5,250,0.004776032636123917,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,8,2,5,250,,error
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,15,1,5,250,0.0368570743366875,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,15,2,5,250,0.04406594470144176,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,20,1,5,250,0.10874557688303055,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,20,2,5,250,0.11436840076959964,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,21,1,5,250,0.1715959901357358,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,21,2,5,250,0.11486336704372002,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,23,1,5,250,0.14673383816246133,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,BBOB,23,2,5,250,0.14226955348445713,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,1,1,2,100,0.22556165083017887,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,1,2,2,100,0.33023395631076824,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,3,1,2,100,0.08211277831168218,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,3,2,2,100,0.09140610132541982,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,5,1,2,100,0.12330989100730771,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,5,2,2,100,0.11645062116662852,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,8,1,2,100,0.13418130171184972,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,8,2,2,100,0.2291124085007229,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,15,1,2,100,0.1120817058896526,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,15,2,2,100,0.0772731454794886,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,20,1,2,100,0.1601737511736352,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,20,2,2,100,0.12574772712894433,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,21,1,2,100,0.2820421113987708,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,21,2,2,100,0.2004749898442283,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,23,1,2,100,0.15093022813561485,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,23,2,2,100,0.11657831953965025,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,1,1,5,250,0.12683338520954168,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,1,2,5,250,0.11162483803363121,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,3,1,5,250,0.023439310078379627,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,3,2,5,250,0.02333521626951396,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,5,1,5,250,0.06760855696195855,ok
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,f0_only_biased,BBOB,5,2,5,250,0.054744224903158556,ok
